27,30,32,34,37,41,44,46,48,51,52,54,58,60,65,67,69
2877697.8416,3453237.4104,3741007.1944,3884892.0864,4532374.1008,4820143.8848,5539568.3456,6115107.9136,7122302.1584,7985611.5104,9496402.88,11007194.248,12949640.288,16402877.696,22446043.168,26115107.912,29424460.432
